sector,market_cap,country,industry,p_e,n,volume,price,ticker,company,change
Services,4.92B,USA,Technical Services,13.74,58,"1,213,535",32.01,ACM,AECOM Technology Corporation,-4.70%
Financial,121.70M,USA,Regional - Southwest  Banks,12.05,61,260,20.25,ACNB,ACNB Corp.,-1.65%
Healthcare,1.53B,USA,Biotechnology,65.09,62,"236,578",36.45,ACOR,"Acorda Therapeutics, Inc.",-0.98%
Basic Materials,478.14M,Canada,Silver,-,141,"2,533,438",4.07,AG,First Majestic Silver Corp.,-15.38%
Financial,-,USA,Exchange Traded Fund,-,142,0,23.00,AGA,PowerShares DB Agriculture Dble Shrt ETN,0.00%
Industrial Goods,3.88B,USA,Farm & Construction Machinery,8.63,143,"1,242,521",42.19,AGCO,AGCO Corporation,-3.26%
Financial,-,USA,Closed-End Fund - Foreign,-,144,"34,515",10.06,AGD,Alpine Global Dynamic Dividend Fund,-0.10%
Consumer Goods,55.76M,China,Farm Products,100.50,21,400,2.01,ABAC,"Aoxin Tianli Group, Inc.",0.50%
Healthcare,1.29B,USA,Medical Laboratories & Research,76.53,22,"120,623",57.40,ABAX,"Abaxis, Inc.",0.35%
Industrial Goods,51.90B,Switzerland,Diversified Machinery,21.15,23,"703,281",22.42,ABB,ABB Ltd.,-2.05%
Healthcare,110.27B,USA,Drug Manufacturers - Major,29.96,24,"2,953,678",69.20,ABBV,AbbVie Inc.,0.73%
Basic Materials,11.96B,USA,Oil & Gas Equipment & Services,54.03,59,"920,608",62.68,ACMP,"Access Midstream Partners, L.P.",-4.89%
Technology,57.38B,Ireland,Information Technology Services,20.31,60,"1,725,067",86.33,ACN,Accenture plc,1.39%
Industrial Goods,43.39M,USA,Diversified Machinery,-,63,"82,747",1.88,ACPW,Active Power Inc.,-2.59%
Financial,341.77M,USA,REIT - Diversified,18.97,64,"50,689",11.95,ACRE,Ares Commercial Real Estate Corporation,0.08%
Healthcare,291.11M,USA,Medical Appliances & Equipment,-,65,"144,726",6.66,ACRX,"AcelRx Pharmaceuticals, Inc.",-3.48%
Healthcare,44.10M,Canada,Biotechnology,-,66,"18,070",0.41,ACST,Acasti Pharma Inc.,-1.19%
Healthcare,71.73B,USA,Drugs - Generic,-,67,"1,175,425",270.61,ACT,Actavis plc,0.05%
Technology,684.18M,USA,Application Software,-,68,"89,991",16.86,ACTA,Actua Corporation,0.96%
Services,953.28M,USA,Business Services,-,69,"197,250",19.02,ACTG,Acacia Research Corporation,-2.46%
Technology,111.81M,China,Semiconductor - Specialized,-,70,"23,147",1.75,ACTS,"Actions Semiconductor Co., Ltd.",0.00%
Consumer Goods,59.22M,USA,Housewares & Accessories,13.64,71,608,18.00,ACU,Acme United Corp.,2.21%
Healthcare,25.41M,USA,Drug Delivery,-,72,"65,539",0.52,ACUR,"Acura Pharmaceuticals, Inc.",3.13%
Consumer Goods,223.28M,USA,Auto Parts,46.80,73,"65,574",4.68,ACW,Accuride Corp.,-3.11%
Financial,-,USA,Exchange Traded Fund,-,74,"775,204",60.43,ACWI,iShares MSCI ACWI,-0.61%
Financial,-,USA,Exchange Traded Fund,-,75,"30,643",70.04,ACWV,iShares MSCI All Country World Mini Vol,-0.10%
Financial,-,USA,Exchange Traded Fund,-,76,"119,246",45.34,ACWX,iShares MSCI ACWI ex US,-1.18%
Technology,1.47B,USA,Information Technology Services,-,77,"214,072",19.03,ACXM,Acxiom Corporation,-1.35%
Healthcare,185.59M,USA,Biotechnology,-,145,"244,996",2.96,AGEN,Agenus Inc.,-1.33%
Financial,-,USA,Exchange Traded Fund,-,146,0,13.74,AGF,PowerShares DB Agriculture Long ETN,0.00%
Financial,-,USA,Exchange Traded Fund,-,147,"2,072,793",110.61,AGG,iShares Core US Aggregate Bond,0.31%
Basic Materials,873.69M,Canada,Gold,-,148,"581,549",6.86,AGI,Alamos Gold Inc.,-6.92%
Financial,1.45B,Bermuda,Property & Casualty Insurance,8.86,149,"46,267",56.44,AGII,"Argo Group International Holdings, Ltd.",-1.59%
Healthcare,3.50B,USA,Biotechnology,-,150,"998,803",100.81,AGIO,"Agios Pharmaceuticals, Inc.",-1.59%
Financial,-,USA,Exchange Traded Fund,-,151,0,20.17,AGLS,AdvisorShares Accuvest Glbl Lg Sht ETF,0.00%
Financial,321.43M,USA,Credit Services,7.64,152,"59,845",30.41,AGM,Federal Agricultural Mortgage Corp.,-3.86%
Healthcare,63.72B,USA,Drug Manufacturers - Other,49.86,153,"869,813",213.89,AGN,Allergan Inc.,-0.05%
Financial,8.14B,USA,REIT - Residential,-,154,"1,751,890",23.08,AGNC,American Capital Agency Corp.,0.11%
Financial,4.14B,Bermuda,Surety & Title Insurance,5.00,155,"669,233",25.56,AGO,Assured Guaranty Ltd.,-0.58%
Financial,-,USA,Exchange Traded Fund,-,156,212,115.20,AGOL,ETFS Physical Asian Gold ETF,-2.45%
Financial,-,USA,Exchange Traded Fund,-,157,"355,929",37.32,AGQ,ProShares Ultra Silver,-12.76%
Consumer Goods,1.10B,Luxembourg,Farm Products,455.00,158,"192,519",9.10,AGRO,Adecoagro S.A.,-2.99%
Healthcare,110.61M,USA,Drugs - Generic,-,159,"7,331",5.95,AGRX,"Agile Therapeutics, Inc.",0.34%
Healthcare,331.32M,USA,Biotechnology,-,160,"4,355",20.19,AGTC,Applied Genetic Technologies Corporation,-4.04%
Services,20.43B,USA,Drugs Wholesale,75.88,25,"758,326",91.05,ABC,AmerisourceBergen Corporation,1.07%
Financial,708.22M,USA,Regional - Mid-Atlantic Banks,22.86,26,"55,546",25.15,ABCB,Ameris Bancorp,-2.18%
Services,80.89M,USA,Education & Training Services,-,27,0,1.80,ABCD,"Cambium Learning Group, Inc.",0.00%
Services,1.53B,USA,Business Services,103.90,28,"207,165",42.60,ABCO,The Advisory Board Company,-0.02%
Financial,277.20M,USA,Savings & Loans,15.46,29,"11,400",30.00,ABCW,Anchor BanCorp Wisconsin Inc.,0.00%
Services,2.25B,USA,Auto Dealerships,18.16,30,"205,898",75.71,ABG,"Asbury Automotive Group, Inc.",-0.08%
Healthcare,17.29M,USA,Biotechnology,-,31,"272,426",0.82,ABIO,"ARCA biopharma, Inc.",0.43%
Services,1.51B,USA,Business Services,21.50,32,"98,855",27.09,ABM,ABM Industries Incorporated,-0.48%
Healthcare,1.45B,USA,Medical Appliances & Equipment,148.00,33,"140,656",35.52,ABMD,"ABIOMED, Inc.",-0.73%
Financial,348.82M,USA,REIT - Diversified,4.14,34,"50,694",6.91,ABR,Arbor Realty Trust Inc.,0.14%
Healthcare,67.02B,USA,Drugs - Generic,40.83,35,"2,440,096",44.51,ABT,Abbott Laboratories,0.59%
Technology,95.99M,USA,Internet Information Providers,3.18,36,"30,622",10.63,ABTL,Autobytel Inc.,-1.30%
Basic Materials,13.86B,Canada,Gold,-,37,"13,460,900",11.89,ABX,Barrick Gold Corporation,-8.04%
Utilities,2.36B,United Kingdom,Electric Utilities,-,38,"340,770",28.20,ABY,Abengoa Yield plc,-5.34%
Healthcare,2.98B,USA,Biotechnology,-,39,"837,548",29.87,ACAD,ACADIA Pharmaceuticals Inc.,-0.27%
Technology,36.75B,USA,Application Software,153.50,81,"978,374",73.68,ADBE,Adobe Systems Inc.,0.96%
Financial,460.92M,USA,Property Management,24.85,82,"38,002",30.81,ADC,Agree Realty Corp.,0.33%
Industrial Goods,112.92M,USA,Diversified Machinery,-,83,"58,005",8.62,ADEP,Adept Technology Inc.,-3.90%
Industrial Goods,404.60M,USA,Pollution & Treatment Controls,-,84,"97,425",20.00,ADES,"Advanced Emissions Solutions, Inc.",-5.35%
Healthcare,14.25B,USA,Medical Laboratories & Research,20.85,1,"1,091,780",42.74,A,Agilent Technologies Inc.,0.00%
Basic Materials,20.38B,USA,Aluminum,-,2,"8,815,912",17.29,AA,Alcoa Inc.,-1.76%
Healthcare,608.37M,USA,Specialized Health Services,962.00,3,"57,934",28.86,AAC,"AAC Holdings, Inc.",0.28%
Services,13.10M,USA,Rental & Leasing Services,-,78,"2,773",8.14,ACY,AeroCentury Corp.,0.48%
Technology,-,Israel,Internet Information Providers,-,79,0,-,ADAM,ADAMA AGRICULTURAL SOLUTIONS LTD.,-
Technology,44.55M,USA,Healthcare Information Services,-,80,"85,214",1.07,ADAT,Authentidate Holding Corp.,0.00%
Financial,4.04B,USA,Asset Management,19.72,40,"645,514",14.99,ACAS,"American Capital, Ltd.",0.33%
Industrial Goods,43.52M,USA,Diversified Machinery,-,85,"39,534",0.83,ADGE,"American DG Energy, Inc.",-1.19%
Healthcare,50.47M,Israel,Biotechnology,-,86,"324,880",3.70,ADHD,Alcobra Ltd.,2.21%
Technology,17.17B,USA,Semiconductor - Integrated Circuits,24.07,87,"1,336,759",54.64,ADI,"Analog Devices, Inc.",0.15%
Healthcare,74.73M,USA,Long-Term Care Facilities,-,88,"33,369",3.96,ADK,AdCare Health Systems Inc.,-4.58%
Consumer Goods,33.91B,USA,Farm Products,18.04,89,"3,007,604",52.68,ADM,Archer-Daniels-Midland Company,-0.94%
Healthcare,114.92M,USA,Biotechnology,-,90,"2,028",12.37,ADMA,"ADMA Biologics, Inc.",-0.24%
Healthcare,43.61M,USA,Drug Delivery,-,91,"9,739",4.13,ADMP,Adamis Pharmaceuticals Corporation,-1.67%
Healthcare,251.64M,USA,Drugs - Generic,8.12,92,"18,135",14.69,ADMS,"Adamas Pharmaceuticals, Inc.",-1.01%
Technology,79.90M,USA,Semiconductor - Integrated Circuits,-,93,"100,449",3.48,ADNC,"Audience, Inc.",-5.69%
Technology,41.28B,USA,Business Software & Services,26.93,94,"1,267,266",85.64,ADP,"Automatic Data Processing, Inc.",0.92%
Healthcare,627.98M,USA,Hospitals,-,95,"17,413",30.44,ADPT,Adeptus Health Inc.,-2.31%
Financial,-,USA,Exchange Traded Fund,-,96,"1,127",29.55,ADRA,BLDRS Asia 50 ADR ETF,-0.03%
Financial,-,USA,Exchange Traded Fund,-,97,"2,644",23.74,ADRD,BLDRS Developed Markets 100 ADR ETF,-0.84%
Financial,-,USA,Exchange Traded Fund,-,98,"3,174",38.96,ADRE,BLDRS Emerging Markets 50 ADR ETF,-2.20%
Financial,-,USA,Exchange Traded Fund,-,4,0,38.38,AADR,AdvisorShares WCM/BNY MlnFcsd GR ADR ETF,0.00%
Financial,-,USA,Exchange Traded Fund,-,5,0,33.77,AAIT,iShares MSCI All Country Asia Info Tech,0.00%
Services,34.81B,USA,Major Airlines,-,6,"21,638,508",48.53,AAL,American Airlines Group Inc.,7.92%
Financial,1.08B,USA,Asset Management,37.67,7,"1,310",495.00,AAMC,Altisource Asset Management Corporation,-10.73%
Financial,79.43M,USA,Life Insurance,19.25,8,"3,971",3.85,AAME,Atlantic American Corp.,0.79%
Services,2.06B,USA,Rental & Leasing Services,26.52,9,"506,966",28.38,AAN,"Aaron's, Inc.",0.46%
Technology,160.80M,USA,Semiconductor - Integrated Circuits,57.11,10,"394,520",10.85,AAOI,"Applied Optoelectronics, Inc.",-6.63%
Industrial Goods,1.13B,USA,General Building Materials,28.00,11,"117,483",20.72,AAON,AAON Inc.,-2.03%
Services,10.74B,USA,Auto Parts Stores,23.61,12,"682,962",147.08,AAP,Advance Auto Parts Inc.,0.94%
Consumer Goods,697.51B,USA,Electronic Equipment,18.50,13,"24,813,696",118.93,AAPL,Apple Inc.,-0.06%
Financial,1.71B,USA,REIT - Retail,119.09,14,"168,865",39.30,AAT,"American Assets Trust, Inc.",0.59%
Basic Materials,71.60M,Canada,Gold,-,15,"163,786",1.06,AAU,Almaden Minerals Ltd.,0.00%
Basic Materials,760.12M,Canada,Oil & Gas Drilling & Exploration,-,16,"283,787",4.48,AAV,Advantage Oil & Gas Ltd.,-8.20%
Healthcare,887.34M,USA,Biotechnology,-,17,"37,353",39.49,AAVL,"Avalanche Biotechnologies, Inc.",-1.69%
Services,1.13B,USA,"Air Services, Other",12.08,18,"165,267",45.65,AAWW,"Atlas Air Worldwide Holdings, Inc.",1.33%
Financial,-,USA,Exchange Traded Fund,-,99,"3,099",23.81,ADRU,BLDRS Europe Select ADR ETF,-1.06%
Services,16.98B,USA,Business Services,32.49,100,"206,262",285.87,ADS,Alliance Data Systems Corporation,0.53%
Financial,-,USA,Exchange Traded Fund,-,19,"1,127,507",62.89,AAXJ,iShares MSCI All Country Asia ex Japan,-0.88%
Financial,2.61B,USA,Asset Management,14.20,20,"51,043",26.84,AB,AllianceBernstein Holding L.P.,-1.43%
Consumer Goods,227.23M,USA,Rubber & Plastics,-,121,"4,604",44.73,AEPI,AEP Industries Inc.,-1.93%
Services,9.41B,Netherlands,"Air Services, Other",12.81,122,"349,048",44.31,AER,AerCap Holdings N.V.,-0.38%
Healthcare,632.35M,USA,Drug Manufacturers - Major,-,123,"88,776",26.37,AERI,"Aerie Pharmaceuticals, Inc.",-1.79%
Technology,14.09B,USA,Technical & System Software,114.81,101,"989,322",62.00,ADSK,"Autodesk, Inc.",1.06%
Services,6.10B,USA,Security & Protection Services,20.92,102,"1,343,752",34.94,ADT,The ADT Corporation,-2.48%
Utilities,9.89B,USA,Electric Utilities,22.37,124,"2,976,520",13.87,AES,The AES Corporation,0.36%
Healthcare,30.68B,USA,Health Care Plans,14.52,125,"819,328",87.24,AET,Aetna Inc.,0.38%
Industrial Goods,49.37M,USA,Industrial Electrical Equipment,301.38,126,400,6.03,AETI,"American Electric Technologies, Inc",5.01%
Services,26.71M,USA,Electronics Wholesale,66.50,127,"30,477",2.66,AEY,ADDvantage Technologies Group Inc.,-1.11%
Healthcare,30.14M,Canada,Biotechnology,-,128,"396,144",0.52,AEZS,Aeterna Zentaris Inc.,-1.89%
Financial,1.32B,USA,Savings & Loans,15.56,129,"209,449",13.23,AF,Astoria Financial Corporation,-1.56%
Healthcare,261.47M,USA,Home Health Care,27.34,130,"28,338",27.61,AFAM,Almost Family Inc.,-0.68%
Financial,-,USA,Closed-End Fund - Debt,-,131,"38,272",13.70,AFB,"AllianceBernstein National Municipal Income Fund, Inc",-0.29%
Financial,47.79M,USA,Regional - Southeast Banks,20.27,132,150,26.55,AFCB,Athens Bancshares Corporation,0.19%
Technology,671.88M,USA,Scientific & Technical Instruments,-,133,"284,663",9.13,AFFX,Affymetrix Inc.,0.11%
Financial,5.31B,USA,Property & Casualty Insurance,11.42,134,"125,042",60.39,AFG,American Financial Group Inc.,-0.48%
Financial,179.24M,USA,Property & Casualty Insurance,15.45,135,"19,569",14.68,AFH,"Atlas Financial Holdings, Inc.",-1.14%
Financial,-,USA,Exchange Traded Fund,-,136,"17,765",28.53,AFK,Market Vectors Africa ETF,-2.18%
Financial,26.91B,USA,Accident & Health Insurance,9.36,137,"1,045,061",59.73,AFL,AFLAC Inc.,0.08%
Technology,1.13B,USA,Communication Equipment,24.87,103,"399,827",20.89,ADTN,ADTRAN Inc.,-0.48%
Healthcare,253.65M,USA,Home Health Care,22.63,104,"25,769",23.08,ADUS,Addus HomeCare Corporation,0.65%
Technology,1.63B,USA,Application Software,36.24,105,"228,654",31.53,ADVS,"Advent Software, Inc.",-0.44%
Financial,1.29B,USA,Closed-End Fund - Equity,4.37,106,"86,259",13.73,ADX,The Adams Express Company,-0.65%
Healthcare,60.92M,USA,Biotechnology,-,107,"81,932",3.12,ADXS,"Advaxis, Inc.",1.15%
Financial,-,USA,Exchange Traded Fund,-,108,0,29.00,ADZ,PowerShares DB Agriculture Short ETN,0.00%
Basic Materials,186.90M,USA,Oil & Gas Refining & Marketing,13.38,109,"5,241",44.29,AE,Adams Resources & Energy Inc.,-2.94%
Financial,1.29B,USA,REIT - Residential,11.93,110,"247,525",22.42,AEC,Associated Estates Realty Corporation,0.22%
Utilities,10.46B,USA,Electric Utilities,17.81,111,"612,646",43.11,AEE,Ameren Corporation,1.24%
Financial,16.82B,Netherlands,Life Insurance,17.07,112,"541,462",7.85,AEG,AEGON N.V.,-0.51%
Industrial Goods,712.09M,USA,Heavy Construction,51.49,113,"202,816",19.05,AEGN,Aegion Corporation,-2.86%
Healthcare,599.23M,USA,Biotechnology,-,114,"189,445",21.07,AEGR,"Aegerion Pharmaceuticals, Inc.",-3.53%
Technology,30.76M,USA,Semiconductor Equipment & Materials,-,115,"11,523",2.67,AEHR,Aehr Test Systems,0.75%
Technology,819.04M,USA,Diversified Electronics,12.16,116,"181,061",20.43,AEIS,"Advanced Energy Industries, Inc.",-2.71%
Financial,2.04B,USA,Life Insurance,12.68,117,"154,003",27.00,AEL,American Equity Investment Life Holding Co.,-1.24%
Basic Materials,4.94B,Canada,Gold,-,118,"2,387,796",23.49,AEM,Agnico Eagle Mines Limited,-9.62%
Healthcare,183.45M,Germany,Biotechnology,-,138,"71,495",7.65,AFMD,Affimed N.V.,9.13%
Technology,236.61M,USA,Diversified Electronics,12.08,139,"90,044",12.68,AFOP,Alliance Fiber Optic Products Inc.,-1.25%
Financial,3.84B,USA,Property & Casualty Insurance,9.52,140,"811,431",51.32,AFSI,"AmTrust Financial Services, Inc.",-0.62%
Services,2.74B,USA,Apparel Stores,61.30,119,"2,202,236",14.10,AEO,"American Eagle Outfitters, Inc.",1.29%
Utilities,28.16B,USA,Electric Utilities,15.72,120,"1,315,958",57.55,AEP,"American Electric Power Co., Inc.",1.57%
Basic Materials,14.01B,Canada,Agricultural Chemicals,16.77,161,"348,950",97.42,AGU,Agrium Inc.,0.19%
Industrial Goods,458.76M,USA,Heavy Construction,14.00,162,"70,499",31.77,AGX,"Argan, Inc.",-5.84%
Technology,280.11M,USA,Application Software,-,163,"28,044",12.28,AGYS,Agilysys Inc.,0.41%
Financial,-,USA,Exchange Traded Fund,-,164,"3,333",113.40,AGZ,iShares Agency Bond,0.13%
Services,262.56M,USA,Publishing - Newspapers,10.17,165,"46,151",12.00,AHC,A. H. Belo Corporation,-1.07%
Basic Materials,4.01B,USA,Nonmetallic Mineral Mining,14.76,166,"55,530",67.03,AHGP,"Alliance Holdings GP, L.P.",-3.01%
Financial,377.70M,USA,REIT - Diversified,30.61,167,"103,885",9.49,AHH,"Armada Hoffler Properties, Inc.",-0.11%
Financial,2.75B,Bermuda,Property & Casualty Insurance,8.67,168,"181,639",44.23,AHL,Aspen Insurance Holdings Ltd.,0.52%
Financial,445.59M,USA,REIT - Hotel/Motel,-,169,"50,711",17.55,AHP,"Ashford Hospitality Prime, Inc.",1.15%
Healthcare,13.68M,USA,Medical Appliances & Equipment,-,170,"2,940",1.71,AHPI,Allied Healthcare Products Inc.,3.66%
Services,798.31M,USA,Staffing & Outsourcing Services,25.94,171,"117,360",17.12,AHS,AMN Healthcare Services Inc.,-0.87%
Financial,937.44M,USA,REIT - Hotel/Motel,-,172,"245,809",10.48,AHT,"Ashford Hospitality Trust, Inc.",0.19%
Financial,639.71M,USA,Mortgage Investment,6.45,173,"106,604",27.85,AI,Arlington Asset Investment Corp.,-0.82%
Financial,-,USA,Exchange Traded Fund,-,174,"15,452",48.07,AIA,iShares Asia 50,-0.60%
Financial,76.72B,USA,Property & Casualty Insurance,8.95,175,"2,894,109",54.80,AIG,"American International Group, Inc.",0.35%
Industrial Goods,815.98M,USA,Industrial Electrical Equipment,21.88,176,"113,698",30.63,AIMC,Altra Industrial Motion Corp.,-3.07%
Industrial Goods,1.19B,USA,Textile Industrial,28.53,177,"68,067",37.37,AIN,Albany International Corp.,-0.95%
Financial,1.95B,USA,Asset Management,7.10,178,"2,480,274",8.24,AINV,Apollo Investment Corporation,-0.72%
Healthcare,241.64M,USA,Medical Laboratories & Research,52.37,179,"13,903",22.52,AIQ,"Alliance Healthcare Services, Inc.",-0.31%
Industrial Goods,1.02B,USA,Aerospace/Defense Products & Services,14.73,180,"112,926",25.63,AIR,AAR Corp.,-1.20%
Industrial Goods,71.95M,USA,Aerospace/Defense Products & Services,32.65,181,"1,000",10.12,AIRI,Air Industries Group,-2.60%
Services,1.74B,USA,"Air Services, Other",20.08,182,"94,628",44.38,AIRM,Air Methods Corp.,-0.45%
Technology,314.02M,Israel,Communication Equipment,472.50,221,"118,477",9.45,ALLT,Allot Communications Ltd.,-3.47%
Financial,11.41B,USA,Mortgage Investment,67.94,222,"809,512",23.78,ALLY,Ally Financial Inc.,0.59%
Services,3.89B,USA,Rental & Leasing Services,16.83,201,"391,438",38.03,AL,Air Lease Corporation,-0.47%
Basic Materials,4.62B,USA,Specialty Chemicals,12.56,202,"757,179",59.04,ALB,Albemarle Corporation,-4.26%
Consumer Goods,263.12M,USA,Farm Products,16.25,203,"11,200",35.75,ALCO,Alico Inc.,-2.03%
Financial,-,USA,Exchange Traded Fund,-,204,"4,345",47.76,ALD,WisdomTree Asia Local Debt ETF,-0.37%
Financial,-,USA,Exchange Traded Fund,-,183,"9,245",18.32,AIRR,First Trust RBA Amer Indl RenaisTM ETF,-3.83%
Services,39.16M,USA,Air Delivery & Freight Services,14.18,184,"4,161",16.59,AIRT,Air T Inc.,1.24%
Services,1.94B,USA,Industrial Equipment Wholesale,17.18,185,"132,052",46.89,AIT,"Applied Industrial Technologies, Inc.",-1.84%
Financial,5.45B,USA,REIT - Residential,155.21,186,"536,558",37.25,AIV,Apartment Investment and Management Company,-0.29%
Industrial Goods,1.33B,Germany,Diversified Machinery,-,187,"41,005",11.76,AIXG,Aixtron SE,-3.37%
Financial,4.75B,USA,Accident & Health Insurance,9.41,188,"179,565",67.59,AIZ,Assurant Inc.,0.00%
Financial,7.74B,USA,Insurance Brokers,22.83,189,"321,560",47.95,AJG,Arthur J Gallagher & Co.,-0.19%
Technology,11.50B,USA,Internet Information Providers,36.92,190,"789,100",64.61,AKAM,"Akamai Technologies, Inc.",0.62%
Healthcare,163.75M,USA,Biotechnology,-,191,"22,125",9.22,AKAO,"Achaogen, Inc.",-5.53%
Healthcare,245.71M,USA,Biotechnology,-,192,"99,598",12.08,AKBA,"Akebia Therapeutics, Inc.",-7.93%
Healthcare,14.70M,USA,Medical Instruments & Supplies,-,193,700,3.00,AKER,Akers Biosciences Inc.,0.00%
Basic Materials,292.16M,Canada,Gold,-,194,"101,922",1.70,AKG,Asanko Gold Inc.,-11.46%
Consumer Goods,2.42B,Chile,Beverages - Soft Drinks,20.72,195,0,15.33,AKO-A,Embotelladora Andina S.A.,0.00%
Consumer Goods,34.25M,China,Processed & Packaged Goods,2.80,223,"26,139",0.98,ALN,American Lorain Corporation,6.52%
Healthcare,7.74B,USA,Biotechnology,-,224,"211,430",100.55,ALNY,"Alnylam Pharmaceuticals, Inc.",-0.18%
Healthcare,904.67M,USA,Medical Laboratories & Research,26.78,225,"21,257",72.84,ALOG,Analogic Corporation,-0.61%
Technology,111.86M,USA,Computer Peripherals,30.83,226,"7,803",14.49,ALOT,"Astro-Med, Inc.",-0.07%
Healthcare,79.23M,USA,Drug Manufacturers - Major,-,227,"9,102",4.90,ALQA,"Alliqua, Inc.",0.20%
Healthcare,3.33B,USA,Medical Laboratories & Research,-,228,"173,215",39.89,ALR,Alere Inc.,0.23%
Technology,63.41M,USA,Telecom Services - Domestic,-,229,"80,441",1.28,ALSK,Alaska Communications Systems Group Inc.,-1.54%
Consumer Goods,5.84B,USA,Auto Parts,27.18,230,"1,557,387",32.89,ALSN,"Allison Transmission Holdings, Inc.",-3.41%
Technology,12.04M,USA,Diversified Electronics,-,231,"1,689",1.04,ALTI,"Altair Nanotechnologies, Inc.",7.22%
Technology,11.47B,USA,Semiconductor - Specialized,25.77,232,"1,545,306",37.62,ALTR,Altera Corp.,1.02%
Technology,42.03M,USA,Telecom Services - Domestic,1.41,233,0,7.04,ALTV,"Alteva, Inc.",0.00%
Technology,10.05B,France,Communication Equipment,-,234,"3,913,617",3.55,ALU,Alcatel-Lucent,0.00%
Consumer Goods,8.96B,Sweden,Auto Parts,22.14,235,"315,276",98.96,ALV,"Autoliv, Inc.",0.21%
Financial,2.05B,USA,REIT - Retail,32.45,236,"2,727",402.11,ALX,Alexander's Inc.,-0.96%
Healthcare,27.58M,USA,Drug Manufacturers - Other,-,237,"62,852",1.42,ALXA,Alexza Pharmaceuticals Inc.,-1.39%
Healthcare,502.82M,USA,Biotechnology,102.00,205,"21,620",16.32,ALDR,Alder Biopharmaceuticals Inc.,-4.00%
Basic Materials,1.07B,USA,Oil & Gas Refining & Marketing,7.58,206,"187,371",17.05,ALDW,"Alon USA Partners, LP",-4.48%
Healthcare,40.14M,USA,Biotechnology,-,207,"1,995",7.22,ALDX,"Aldeyra Therapeutics, Inc.",-1.77%
Utilities,2.27B,USA,Diversified Utilities,17.10,208,"108,406",50.97,ALE,"ALLETE, Inc.",-0.55%
Financial,1.86B,USA,Real Estate Development,68.00,209,"101,415",38.08,ALEX,"Alexander & Baldwin, Inc.",-1.37%
Financial,-,USA,Exchange Traded Fund,-,210,"5,155",42.50,ALFA,AlphaClone Alternative Alpha ETF,-0.65%
Industrial Goods,538.70M,USA,Farm & Construction Machinery,16.26,211,"76,859",47.63,ALG,"Alamo Group, Inc.",-2.74%
Healthcare,4.57B,USA,Medical Appliances & Equipment,31.61,212,"646,597",56.90,ALGN,Align Technology Inc.,-0.77%
Services,2.45B,USA,Regional Airlines,25.50,213,"106,770",140.26,ALGT,Allegiant Travel Company,4.20%
Healthcare,260.04M,USA,Drug Manufacturers - Major,-,214,"172,965",5.87,ALIM,"Alimera Sciences, Inc.",-2.65%
Basic Materials,971.76M,USA,Oil & Gas Refining & Marketing,58.17,215,"873,552",13.96,ALJ,"Alon USA Energy, Inc.",-9.76%
Services,7.83B,USA,Regional Airlines,15.17,216,"1,212,282",59.03,ALK,"Alaska Air Group, Inc.",5.04%
Healthcare,8.05B,USA,Drug Delivery,-,217,"387,987",55.02,ALKS,Alkermes plc,0.02%
