option,open_interest,symbol,volume_change,volume,open_interest_change,close,ticker,change
JAN 15 20 Put,"+1,007",UVXY150117P00020000,"2,938",(+2.00%),(+52.10%),3.88,UVXY,+0.08
DEC 14 75 Call,"+2,766",TRIP141220C00075000,"2,906",(+33.30%),(+1975.70%),3.40,TRIP,+0.85
DEC 14 22.5 Call,"+1,700",MYCC141220C00022500,"2,900",(-15.40%),(+141.70%),0.28,MYCC,-0.05
DEC 14 56.5 Call,"+10,001",MET141220C00056500,"10,007",(-34.50%),(+166683.30%),0.36,MET,-0.19
JAN 15 17 Call,"-8,845",BAC150117C00017000,"8,083",(-8.50%),(-52.30%),0.59,BAC,-0.06
JAN 15 23 Call,"+1,381",UUP150117C00023000,"1,657",(-14.80%),(+500.40%),0.57,UUP,-0.10
DEC 14 16 Call,-198,JBLU141220C00016000,-198,(+50.00%),(-43.00%),0.30,JBLU,+0.10
JAN 15 21.54 Call,+6,KING150117C00021540,+6,(+50.00%),(+17.60%),0.30,KING,+0.10
DEC 14 120 Call,+15,LQD141220C00120000,+15,(+50.00%),0.00%,0.30,LQD,+0.10
DEC 14 25 Call,+91,EXAS141220C00025000,+91,(+50.00%),(+64.10%),1.50,EXAS,+0.50
JAN 15 29.87 Call,+10,IFN150117C00029870,+10,(+50.00%),(+500.00%),0.75,IFN,+0.25
APR 15 15 Call,+20,FOE150417C00015000,+20,(+50.00%),0.00%,0.75,FOE,+0.25
DEC 14 35 Call,+91,GNTX141220C00035000,+91,(+50.00%),(+3033.30%),2.85,GNTX,+0.95
JAN 15 20 Call,-681,HLSS150117C00020000,-681,(+50.00%),(-97.10%),0.45,HLSS,+0.15
DEC 14 67.5 Call,+87,RAI141220C00067500,+87,(+50.00%),0.00%,0.45,RAI,+0.15
DEC 14 123 Call,+65,TLT141220C00123000,+65,(+48.90%),(+132.70%),0.67,TLT,+0.22
JAN 15 35 Call,+404,ESPR150117C00035000,+404,(+48.30%),0.00%,4.30,ESPR,+1.40
DEC 14 82.5 Call,-5,TSO141220C00082500,-5,(+47.60%),(-25.00%),0.62,TSO,+0.20
DEC 14 65 Call,-90,AKAM141220C00065000,-90,(+47.50%),(-42.50%),0.90,AKAM,+0.29
JAN 16 50 Call,-29,GM160115C00050000,-29,(+47.10%),(-44.60%),0.50,GM,+0.16
DEC 14 250 Call,+2,GWW141220C00250000,+2,(+46.20%),(+15.40%),3.80,GWW,+1.20
DEC 14 20 Call,+48,FTK141220C00020000,+48,(+33.30%),0.00%,0.40,FTK,+0.10
DEC 14 22 Call,-244,DXD141220C00022000,-244,(+33.30%),(-88.10%),0.40,DXD,+0.10
FEB 15 100 Call,+39,GPRO150220C00100000,+39,(+32.60%),(+354.50%),2.85,GPRO,+0.70
JAN 15 110 Call,+1,UHS150117C00110000,+1,(+32.50%),(+5.90%),2.65,UHS,+0.65
JAN 15 400 Call,-7,BIIB150117C00400000,-7,(+32.40%),(-31.80%),2.25,BIIB,+0.55
APR 15 80 Call,+506,FDO150417C00080000,+506,(+32.40%),0.00%,2.25,FDO,+0.55
DEC 14 25 Call,-19,TXTR141220C00025000,-19,(+32.00%),(-63.30%),1.65,TXTR,+0.40
JAN 15 55 Call,+18,EAT150117C00055000,+18,(+32.00%),0.00%,3.30,EAT,+0.80
DEC 14 32 Call,+246,BX141220C00032000,+246,(+31.50%),(+153.80%),1.92,BX,+0.46
JAN 15 35 Call,-45,CDW150117C00035000,-45,(+30.80%),(-61.60%),0.85,CDW,+0.20
DEC 14 85 Call,+68,VAL141220C00085000,+68,(+30.80%),(+234.50%),0.85,VAL,+0.20
DEC 14 16 Call,+32,INFI141220C00016000,+32,(+30.80%),0.00%,0.85,INFI,+0.20
JAN 15 37 Call,+15,CXW150117C00037000,+15,(+30.80%),0.00%,0.85,CXW,+0.20
DEC 14 21 Call,+20,AXL141220C00021000,+20,(+30.40%),0.00%,1.50,AXL,+0.35
DEC 14 12.5 Call,+25,TSEM141220C00012500,+25,(+30.40%),(+51.00%),1.50,TSEM,+0.35
MAY 15 45 Call,+20,HIW150515C00045000,+20,(+30.00%),0.00%,1.30,HIW,+0.30
JAN 15 17 Call,"+2,081",AA150117C00017000,"2,897",(+3.00%),(+255.00%),0.87,AA,+0.03
JAN 15 70 Call,"+2,578",XLV150117C00070000,"2,828",(-7.60%),(+1031.20%),1.27,XLV,-0.10
DEC 14 180 Put,"+2,692",TSLA141220P00180000,"2,824",(-22.70%),(+2039.40%),0.26,TSLA,-0.07
JAN 16 35 Call,-412,JD160115C00035000,"2,700",(-9.10%),(-13.20%),1.50,JD,-0.15
DEC 14 50 Call,"+2,644",WDR141220C00050000,"2,644",(+411.10%),0.00%,1.15,WDR,+0.93
JAN 15 24 Call,"+2,579",TIBX150117C00024000,"2,629",0.00%,(+5158.00%),0.03,TIBX,0.00
JAN 15 72.5 Put,"+2,512",COV150117P00072500,"2,593",(+42.90%),(+3101.20%),0.25,COV,+0.08
JAN 15 55 Call,"+2,551",ADM150117C00055000,"2,577",(-36.70%),(+9811.50%),0.53,ADM,-0.31
DEC 14 119 Put,"+2,551",UNP141220P00119000,"2,554",(+43.90%),(+85033.30%),1.77,UNP,+0.54
JAN 15 30 Call,"+2,520",STRZA150117C00030000,"2,540",(-78.50%),(+12600.00%),0.77,STRZA,-2.83
JAN 15 48 Call,"+2,522",CIT150117C00048000,"2,522",(-5.80%),0.00%,1.23,CIT,-0.07
JAN 16 35 Call,"+2,518",SFM160115C00035000,"2,518",(-14.50%),0.00%,2.95,SFM,-0.50
JAN 15 80 Put,"+2,218",LB150117P00080000,"2,492",(-16.40%),(+809.50%),1.40,LB,-0.28
JAN 15 40 Call,"+2,479",PAY150117C00040000,"2,482",(-4.80%),(+82633.30%),0.50,PAY,-0.03
JAN 15 25 Put,"+2,286",ANF150117P00025000,"2,400",(+36.20%),(+2005.30%),0.47,ANF,+0.13
JAN 15 15 Call,"+2,375",SLV150117C00015000,"2,396",(+3.10%),(+11309.50%),1.16,SLV,+0.03
JAN 15 37 Put,"+16,403",FXI150117P00037000,"16,415",(-38.90%),(+136691.70%),0.22,FXI,-0.14
JAN 15 20.54 Call,"+22,501",KING150117C00020540,"22,525",(+33.30%),(+93754.20%),0.40,KING,+0.10
JUN 15 50 Call,"+12,366",XLNX150619C00050000,"12,381",0.00%,(+82440.00%),1.78,XLNX,0.00
JAN 16 35 Put,"+4,576",OIH160115P00035000,"4,582",(+2.60%),(+76266.70%),4.00,OIH,+0.10
MAR 15 111 Call,"+14,975",QQQ150320C00111000,"15,000",(-2.00%),(+59900.00%),0.99,QQQ,-0.02
JAN 15 57 Call,"+5,038",VGK150117C00057000,"5,047",(-25.00%),(+55977.80%),0.30,VGK,-0.10
JAN 15 57.5 Call,"+4,006",WMB150117C00057500,"4,014",(-6.30%),(+50075.00%),0.30,WMB,-0.02
JAN 16 42 Call,"+6,071",GM160115C00042000,"6,085",(-2.50%),(+43364.30%),0.79,GM,-0.02
APR 15 29 Call,"+3,005",GT150417C00029000,"3,012",(-3.40%),(+42928.60%),1.40,GT,-0.05
MAR 15 44 Call,"+4,260",HFC150320C00044000,"4,270",(-23.50%),(+42600.00%),1.30,HFC,-0.40
JAN 16 37 Call,"+10,531",MU160115C00037000,"10,556",0.00%,(+42124.00%),5.50,MU,0.00
JAN 15 55 Put,"+2,581",CMCSA150117P00055000,"2,588",(+30.90%),(+36871.40%),1.06,CMCSA,+0.25
JAN 15 55 Call,"+2,498",VFC150117C00055000,"2,505",(-4.40%),(+35685.70%),19.40,VFC,-0.90
JAN 15 40 Call,"+2,805",SIX150117C00040000,"2,813",(+25.00%),(+35062.50%),2.25,SIX,+0.45
DEC 14 215 Call,-143,SPY141220C00215000,615,(-42.10%),(-18.90%),0.06,SPY,-0.04
JAN 15 17 Call,"-13,108",F150117C00017000,"2,302",(-18.40%),(-85.10%),0.16,F,-0.04
JAN 15 20 Put,-454,VXX150117P00020000,430,(+14.30%),(-51.40%),0.04,VXX,0.00
JAN 15 120 Call,+466,AAPL150117C00120000,"24,266",(-8.10%),(+2.00%),2.04,AAPL,-0.18
DEC 14 114 Put,"+1,603",IWM141220P00114000,"5,018",(+3.40%),(+46.90%),0.75,IWM,+0.03
JAN 15 40 Call,+11,GM150117C00040000,95,(-22.20%),(+13.10%),0.04,GM,-0.01
JAN 15 40 Call,"-1,744",YHOO150117C00040000,225,(-0.20%),(-88.60%),10.43,YHOO,-0.02
JAN 15 50 Call,"-29,040",EWZ150117C00050000,"8,010",(-36.40%),(-78.40%),0.03,EWZ,-0.02
JAN 15 45 Call,"-2,248",EEM150117C00045000,"13,094",(+14.30%),(-14.70%),0.04,EEM,0.00
JAN 15 23 Call,-509,XLF150117C00023000,246,(+1.90%),(-67.40%),1.63,XLF,+0.03
JAN 15 22 Call,+298,SLV150117C00022000,300,(-33.30%),(+14900.00%),0.01,SLV,0.00
MAR 15 17 Call,-76,BWP150320C00017000,33,(-3.20%),(-69.70%),1.53,BWP,-0.05
JAN 15 55 Call,+80,FXI150117C00055000,80,0.00%,0.00%,0.02,FXI,0.00
JAN 15 75 Put,-108,XLE150117P00075000,366,(+22.30%),(-22.80%),1.02,XLE,+0.19
FEB 15 75 Call,-80,DG150220C00075000,15,(+14.80%),(-84.20%),1.75,DG,+0.23
MAR 15 33 Call,+42,IMAX150320C00033000,117,(-16.70%),(+56.00%),0.88,IMAX,-0.17
JAN 15 33 Call,+19,XHB150117C00033000,32,(-12.20%),(+146.20%),0.90,XHB,-0.12
JAN 15 115 Call,-214,MON150117C00115000,16,(+3.50%),(-93.00%),6.70,MON,+0.22
DEC 14 50 Put,"-19,615",VLO141220P00050000,"1,705",(-6.70%),(-92.00%),0.70,VLO,-0.05
FEB 15 115 Call,"-6,043",UTX150220C00115000,361,(+18.60%),(-94.40%),2.13,UTX,+0.33
JAN 15 25 Call,-456,SLW150117C00025000,341,(-23.40%),(-57.20%),0.30,SLW,-0.09
JAN 15 55 Call,+812,BMY150117C00055000,"2,330",(-6.90%),(+53.50%),4.40,BMY,-0.32
DEC 14 41 Call,+500,BK141220C00041000,750,(-13.60%),(+200.00%),0.29,BK,-0.04
FEB 15 60 Call,"+61,497",YHOO150220C00060000,"61,682",(-9.70%),(+33241.60%),0.79,YHOO,-0.08
FEB 15 55 Call,+25,TRP150220C00055000,+25,(+46.20%),0.00%,0.95,TRP,+0.30
JAN 15 46 Call,-32,LUV150117C00046000,-32,(+44.40%),(-33.00%),0.65,LUV,+0.20
DEC 14 14 Call,+38,KNDI141220C00014000,+38,(+44.40%),0.00%,0.65,KNDI,+0.20
JAN 15 85 Call,"+1,191",CBST150117C00085000,"+1,191",(+44.00%),0.00%,1.80,CBST,+0.55
JAN 15 58 Call,+75,EWY150117C00058000,+75,(+43.20%),0.00%,0.63,EWY,+0.19
DEC 14 17.5 Call,-94,WWWW141220C00017500,-94,(+42.90%),(-85.50%),0.50,WWWW,+0.15
DEC 14 38 Call,+58,FOXA141220C00038000,+58,(+42.90%),(+75.30%),0.50,FOXA,+0.15
DEC 14 20 Call,-184,IDTI141220C00020000,-184,(+42.90%),(-73.30%),0.50,IDTI,+0.15
JAN 15 100 Call,+49,EXPE150117C00100000,+49,(+42.90%),(+4900.00%),0.50,EXPE,+0.15
DEC 14 23 Call,-9,RUSS141220C00023000,-9,(+42.30%),(-37.50%),1.85,RUSS,+0.55
DEC 14 35 Call,-84,PPC141220C00035000,-84,(+41.70%),(-40.80%),3.40,PPC,+1.00
DEC 14 60 Call,+32,TLLP141220C00060000,+32,(+41.20%),(+133.30%),1.20,TLLP,+0.35
DEC 14 75 Call,+47,CHD141220C00075000,+47,(+40.70%),0.00%,1.90,CHD,+0.55
DEC 14 40 Call,+604,SIX141220C00040000,+604,(+40.00%),(+1184.30%),1.75,SIX,+0.50
DEC 14 18 Call,-26,YOKU141220C00018000,-26,(+30.00%),(-14.60%),0.65,YOKU,+0.15
JAN 15 40.5 Call,-3,RGR150117C00040500,-3,(+30.00%),(-21.40%),0.65,RGR,+0.15
DEC 14 25 Call,+20,SPA141220C00025000,+20,(+30.00%),0.00%,2.60,SPA,+0.60
DEC 14 91 Call,-143,CVS141220C00091000,-143,(+30.00%),(-89.90%),0.65,CVS,+0.15
DEC 14 110 Call,"-1,079",GILD141220C00110000,"-1,079",(+30.00%),(-35.30%),0.26,GILD,+0.06
DEC 14 40 Call,+27,MANH141220C00040000,+27,(+29.40%),(+900.00%),1.10,MANH,+0.25
JAN 15 27.5 Call,-11,YRCW150117C00027500,-11,(+28.60%),(-30.60%),0.54,YRCW,+0.12
DEC 14 50 Call,+45,KPTI141220C00050000,+45,(+28.60%),(+900.00%),2.25,KPTI,+0.50
DEC 14 40 Call,+100,EDZ141220C00040000,+100,(+28.60%),0.00%,0.45,EDZ,+0.10
DEC 14 23 Call,"+2,139",ALLY141220C00023000,"+2,139",(+28.60%),(+21390.00%),0.45,ALLY,+0.10
DEC 14 12.5 Call,+50,RNG141220C00012500,+50,(+28.60%),0.00%,0.90,RNG,+0.20
JAN 15 65 Call,+27,ALK150117C00065000,+27,(+28.60%),0.00%,0.45,ALK,+0.10
JAN 15 15 Call,+25,FCAU150117C00015000,+25,(+28.60%),(+29.40%),0.45,FCAU,+0.10
DEC 14 97.5 Call,+6,STZ141220C00097500,+6,(+28.60%),(+50.00%),0.45,STZ,+0.10
DEC 14 155 Call,+2,AAP141220C00155000,+2,(+28.00%),(+13.30%),1.60,AAP,+0.35
JAN 15 115 Call,+37,ARG150117C00115000,+37,(+28.00%),0.00%,3.20,ARG,+0.70
MAR 15 24 Call,"+2,329",MGM150320C00024000,"2,380",(-8.20%),(+4566.70%),0.56,MGM,-0.05
MAR 15 14 Call,"+1,612",JDSU150320C00014000,"2,353",0.00%,(+217.50%),0.69,JDSU,0.00
MAY 15 18 Put,"+2,341",RIG150515P00018000,"2,351",(+14.90%),(+23410.00%),2.50,RIG,+0.33
JAN 15 55 Call,+812,BMY150117C00055000,"2,330",(-6.90%),(+53.50%),4.40,BMY,-0.32
MAY 15 95 Put,"-2,277",CAT150515P00095000,"2,327",(+5.00%),(-49.50%),4.70,CAT,+0.23
JAN 15 65 Put,"+2,302",SWKS150117P00065000,"2,320",(-34.00%),(+12788.90%),1.65,SWKS,-0.85
JAN 15 90 Call,"+1,799",SLB150117C00090000,"2,318",(+13.70%),(+346.60%),2.87,SLB,+0.34
JAN 15 550 Call,"+2,238",GOOG150117C00550000,"2,313",(+35.00%),(+2984.00%),8.30,GOOG,+2.15
APR 15 20 Call,"+2,298",AMAT150417C00020000,"2,311",(-3.50%),(+17676.90%),4.80,AMAT,-0.17
DEC 14 90 Put,+243,DIS141220P00090000,"2,309",(-7.20%),(+11.80%),0.45,DIS,-0.04
MAY 15 110 Call,"+1,652",GILD150515C00110000,"2,251",(+7.70%),(+275.80%),5.93,GILD,+0.42
DEC 14 17 Put,"+2,230",FNSR141220P00017000,"2,241",(+25.00%),(+20272.70%),0.88,FNSR,+0.18
JAN 15 67.5 Call,"+2,202",LOW150117C00067500,"2,233",(+8.10%),(+7103.20%),0.47,LOW,+0.03
JAN 15 44 Put,"+2,202",LEN150117P00044000,"2,229",(+13.50%),(+8155.60%),1.10,LEN,+0.13
DEC 14 185 Call,"+2,112",GS141220C00185000,"2,212",(+7.20%),(+2112.00%),7.43,GS,+0.50
FEB 15 55 Call,"+2,063",AAL150220C00055000,"2,069",(+41.30%),(+34383.30%),1.95,AAL,+0.57
